Date,Time,Power Factor AN Avg,Power Factor BN Avg,Power Factor CN Avg,Power Factor Total Avg
2025-04-01,07:59:00,0.962,0.905,0.991,0.947
2025-04-01,08:00:00,0.991,0.909,0.972,0.942
2025-04-01,08:01:00,0.83,0.927,0.987,0.945
2025-04-01,08:02:00,0.981,0.921,0.991,0.937
2025-04-01,08:03:00,0.975,0.909,1.0,0.956
2025-04-01,08:04:00,0.977,0.91,0.991,0.952
2025-04-01,08:05:00,0.983,0.915,0.984,0.94
2025-04-01,08:06:00,0.983,0.917,0.981,0.956
2025-04-01,08:07:00,0.989,0.895,1.0,0.943
2025-04-01,08:08:00,0.993,0.909,0.984,0.966
2025-04-01,08:09:00,0.98,1.16,0.986,0.8
2025-04-01,08:10:00,0.975,0.913,0.99,0.939
2025-04-01,08:11:00,0.974,0.76,1.0,1.2
2025-04-01,08:12:00,0.972,0.907,0.973,0.943
2025-04-01,08:13:00,0.975,0.908,0.984,0.936
2025-04-01,08:14:00,0.994,0.912,1.24,0.95
2025-04-01,08:15:00,0.984,0.89,0.985,0.952
2025-04-01,08:16:00,0.959,0.913,0.993,0.94
2025-04-01,08:17:00,0.991,0.912,0.986,0.947
2025-04-01,08:18:00,0.973,0.914,0.995,0.958
2025-04-01,08:19:00,0.998,0.918,1.0,0.946
